Country,B2C_Index_2020
Afghanistan,17.1
Angola,26.0
Albania,49.5
United Arab Emirates,78.2
Argentina,50.9
Armenia,49.9
Australia,90.6
Austria,88.8
Azerbaijan,60.0
Burundi,8.3
Belgium,86.8
Benin,20.7
Burkina Faso,18.4
Bangladesh,33.3
Bulgaria,73.9
Bahrain,59.7
Bosnia and Herzegovina,58.1
Belarus,78.8
Belize,48.6
Bolivia,39.2
Brazil,63.5
Bhutan,33.6
Botswana,38.7
Canada,90.8
Switzerland,95.9
Chile,68.4
China,70.1
Cote d'Ivoire,30.4
Cameroon,35.5
"Congo, Dem. Rep.",12.8
"Congo, Rep.",12.9
Colombia,59.1
Comoros,12.0
Costa Rica,68.8
Cyprus,78.1
Czechia,85.8
Germany,93.4
Djibouti,27.7
Denmark,94.5
Dominican Republic,59.3
Algeria,52.2
Ecuador,39.5
"Egypt, Arab Rep.",36.6
Spain,84.9
Estonia,90.8
Ethiopia,27.5
Finland,93.4
France,90.0
Gabon,38.0
United Kingdom,93.6
Georgia,73.6
Ghana,51.9
Guinea,18.1
Greece,79.2
Guatemala,36.8
"Hong Kong SAR, China",91.8
Honduras,44.2
Croatia,84.0
Haiti,20.2
Hungary,80.5
Indonesia,50.1
India,57.1
Ireland,93.4
"Iran, Islamic Rep.",75.0
Iraq,25.4
Iceland,80.3
Israel,83.9
Italy,81.8
Jamaica,55.0
Jordan,54.7
Japan,88.7
Kazakhstan,68.2
Kenya,49.0
Kyrgyz Republic,44.3
Cambodia,31.1
"Korea, Rep.",89.8
Kuwait,68.7
Lao PDR,40.6
Lebanon,60.4
Liberia,16.9
Libya,49.7
Sri Lanka,47.8
Lesotho,27.4
Lithuania,82.6
Luxembourg,78.4
Latvia,77.8
Morocco,44.8
Moldova,70.8
Madagascar,19.2
Mexico,46.8
North Macedonia,71.1
Mali,17.5
Malta,72.9
Myanmar,24.0
Montenegro,54.0
Mongolia,65.0
Mozambique,20.1
Mauritania,15.0
Mauritius,58.4
Malawi,18.0
Malaysia,81.3
Namibia,43.9
Niger,5.6
Nigeria,46.2
Nicaragua,29.0
Netherlands,95.8
Norway,92.6
Nepal,34.3
New Zealand,91.8
Oman,70.6
Pakistan,32.5
Panama,49.5
Peru,52.5
Philippines,44.7
Poland,82.2
Portugal,77.5
Paraguay,47.1
Qatar,72.1
Romania,75.0
Russian Federation,76.6
Rwanda,28.3
Saudi Arabia,72.3
Sudan,21.7
Senegal,44.1
Singapore,94.4
Sierra Leone,14.4
El Salvador,37.0
Serbia,75.3
Slovak Republic,85.7
Slovenia,78.8
Sweden,90.8
Eswatini,28.4
Syrian Arab Republic,21.1
Chad,7.1
Togo,23.2
Thailand,76.0
Tajikistan,30.0
Trinidad and Tobago,54.9
Tunisia,54.6
Turkiye,68.8
Tanzania,36.6
Uganda,34.9
Ukraine,71.2
Uruguay,56.6
United States,91.0
Uzbekistan,37.0
"Venezuela, RB",48.0
Vietnam,61.6
"Yemen, Rep.",18.5
South Africa,56.5
Zambia,30.0
Zimbabwe,30.5
