Country Name,Internet_Users_Pct,Fixed_Broadband_per_100,Mobile_Cellular_per_100,ICT_Graduates_Pct,Problem_Solving_Tech_Level3_Pct,B2C_Index_2020,DAI_Overall,DAI_Business,DAI_People,DAI_Gov,R&D_Expenditure_Pct_GDP,High_Technology_Exports_USD
United States,0.49728280961183036,0.6400431239759694,0.3008669221543919,0.29791486898782077,0.3773489519112207,0.8168997240110396,0.5506750428697225,0.3097996369193509,0.5054097581385906,0.6502703179104911,1.1071948052735174,2.0843188274520754
Denmark,0.9102957486136789,0.9539985144729657,0.552518314531214,0.40289349486668646,0.525980271270037,0.9431186752529899,0.7184711452009084,0.8917494432486905,0.9899999999999999,0.29198594332600913,0.6802432197438334,0.0
Greece,0.01,0.8726140906608412,0.2839195516084878,0.07958735677687023,0.06316892725030826,0.3913615455381786,0.01,0.01,0.3611306507158791,0.01,-0.18170543555492388,-0.45043901312222345
Chile,0.5914787430683921,0.01,0.6784141198013762,0.01,0.014833538840937119,0.01,0.5852007739722853,0.4603780465804895,0.01,0.99,-0.2441483430234478,-0.506144418931305
Lithuania,0.17121996303142384,0.2646865319497543,0.7458697198100732,0.2952921557566055,0.01,0.5139742410303586,0.7270094128006673,0.39404299426452843,0.5676704158609984,0.8547845725048155,-0.44728908255693506,-0.4215301839314296
Israel,0.4755452865064701,0.2836378372474058,0.9468709841054168,0.603016964904954,0.5308138101109743,0.5608555657773692,0.7058956064327756,0.2767583543799843,0.531931697486315,0.903340706736067,2.277214290672312,0.16382821779708853
Poland,0.11325323475046288,0.05540006553795732,0.6353906423292973,0.17917381254951945,0.2250924784217016,0.49954921803127894,0.33410308198544747,0.20338744292521493,0.36990064593757505,0.443056322981531,-0.20142307563192963,0.5369079789698515
Austria,0.5987245841035117,0.2864895248498089,0.5046771855641681,0.33786151555517235,0.2843033292231813,0.7375620975160992,0.99,0.7172993051494831,0.8972578724415649,0.8922097384955303,0.8704665125262092,0.3386284963385998
Australia,0.845083179297597,0.6008816602949207,0.25270715031394825,0.4789357649678534,0.5078545006165227,0.8024747010119594,0.41753684015386755,0.2704126439570192,0.6413736262375931,0.3521780457697776,-0.2441483430234478,-0.2609465855760509
Estonia,0.4465619223659892,0.6646464227198254,0.99,0.99,0.28309494451294703,0.8096872125114996,0.8782129165314919,0.5879427779920458,0.7075790834074012,0.9080577010368784,0.0,-0.47062795809286734
Finland,0.5552495378927913,0.5031878099399236,0.58529334867334,0.7784323892175359,0.7700739827373613,0.9034498620055201,0.7785651249015155,0.9119448660686514,0.7961178384240014,0.520781759845454,0.7257661638017583,-0.3568332912523612
Ireland,0.8160998151571162,0.38505686510103776,0.3486438912196876,0.8007609141026829,0.1405055487053021,0.9034498620055201,0.21400050980210408,0.5022048181279055,0.2630496473215502,0.17514772192931824,-0.5028580912968316,2.0843188274520754
Norway,0.99,0.99,0.3087374476700915,0.38572366033435435,0.49456226880394577,0.8745998160073596,0.768224641979886,0.7390640098120939,0.7384603710241663,0.6302056180845693,-0.1377902568924438,-0.355397788428978
Germany,0.45380776340110884,0.9452165155652651,0.5321778161917625,0.3715980976076638,0.5827743526510482,0.9034498620055201,0.9034050980210409,0.6813518792689451,0.648377802920955,0.9463337283249215,0.8286624175428644,2.0843188274520754
Sweden,0.7001663585951942,0.7735457782632441,0.5298123881225623,0.5751684245020213,0.8208261405672009,0.8096872125114996,0.8729127774945543,0.99,0.8659287611813552,0.587715100175199,0.9979530833215599,0.3387259122382495
New Zealand,0.7871164510166361,0.589222282905516,0.3703492417409317,0.5485310273797146,0.99,0.8457497700091996,0.39453497705890533,0.25238012739962923,0.6684361081332676,0.3036219115385262,-0.2441483430234478,-0.5280554844731392
Slovenia,0.25817005545286575,0.40536122337520486,0.5469037125422104,0.257540264046288,0.209383477188656,0.3769365225390984,0.42799268665708856,0.6435415344771099,0.2167725155913832,0.49186845200826734,0.19220547430803578,-0.40983216116441984
Canada,0.6277079482439928,0.8407659639541236,0.01,0.4638280212082296,0.621442663378545,0.8096872125114996,0.33725332530008806,0.3377426585548934,0.38424140090961084,0.3719038738893409,-0.043197145384222584,0.6317296759342991
Netherlands,0.5190203327171906,0.9000733588203169,0.4221975543363243,0.20622968128401803,0.6407768187422936,0.99,0.8986997172915604,0.8601021747514831,0.6952032759854323,0.8170181633298709,0.29044398553664064,2.0843188274520754
